originality,DSI_ukwac,DSI_subtitle,DSI_baroni,DSI_glove,DSI_TASA,LSE,dat
1.1,0.87491167,0.9442260209,0.906068929,0.9336676859,1.0060671769,0.88,86.3887581686
0.5,0.8790281727,0.9530580999,0.9245856365,0.8538641844,0.9870449459,0.838,78.828471154
1.3,0.8964342978,0.8787523435,0.9260004979,0.9327853944,0.9901728029,0.908,80.5448981002
0.4,0.849188242,0.8984676143,0.8917311084,0.9156819187,0.9950825592,0.894,80.4645355259
0,0.8579709504,0.9191046197,0.9202466057,0.8670413864,0.9883111015,0.911,81.2336368863
0.1,0.8858068244,0.9254803478,0.9187444373,0.9053262573,0.9930218019,0.876,79.3745912966
0.1,0.8289501129,0.8960577568,0.912971762,0.8623899586,0.9751811161,0.774,78.5586141759
0.3,0.8555428708,0.9195069982,0.9186856426,0.9229772206,0.9984451133,0.911,84.6340820105
1.1,0.8449932252,0.9010002897,0.8886577539,0.9193073706,0.9989444265,0.895,81.7859676711
0.7,0.8201990154,0.9193068818,0.9001587483,0.8232605697,0.9735098043,0.819,73.9907606727
0.6,0.877796125,0.9212464635,0.9241039905,0.9151837757,0.9929010519,0.887,87.2026591473
0.8,0.8172531966,0.9108873567,0.901730876,0.8413605489,1.0074043946,0.881,72.7604148643
0,0.8425050698,0.900564498,0.9033112704,0.8124780932,0.9808076225,0.812,72.2417034564
0.9,0.8473776164,0.9401900674,0.9220861306,0.862329315,1.0018098776,0.905,75.5809636343
0.5,0.8572777864,0.9113988299,0.9189282578,0.8544211698,1.0123378494,0.846,77.3856607931
2.1,0.8657506947,0.9364316879,0.9278983129,0.8978670197,0.9941310756,0.89,82.691420189
1.7,0.8779473306,0.9156811245,0.9173426772,0.918837941,1.0031122525,0.947,84.7631152897
2.4,0.8059577613,0.9387601588,0.8952859393,0.8764174457,0.9882223082,0.883,71.3614725641
0.7,0.8477794291,0.9319763454,0.9287810492,0.8803337145,1.0035888113,0.88,77.7213710405
0.3,0.8203301461,0.8799156992,0.8773905132,0.8790696307,0.9686865518,0.723,69.6240190949
1.5,0.870378925,0.8977108001,0.9148247289,0.9418898174,1.0076417112,0.863,85.2097428869
